gameid,playerid,rounds
1657,703,6
162,704,100
819,704,2
1485,705,1
1657,706,20
959,707,627
126,707,10
1388,707,130
883,707,12
1364,707,10
16,708,167
955,708,60
1485,709,96
819,710,3
686,711,382
939,711,960
1311,711,392
1886,711,232
2672,711,53
693,712,448
959,712,43
305,713,247
456,714,1
1985,714,28
576,714,17
1587,714,65
1934,714,2155
2554,714,2533
2672,714,47
1485,715,7
1017,716,479
1657,717,6
305,718,34
1713,719,13
1985,719,27
408,719,40
1485,719,14
1886,719,458
1657,720,81
1886,721,3
1276,721,36
2001,721,38
1934,721,22
2970,721,520
1985,721,1401
1657,722,8
1985,722,1
1331,723,151
1886,724,5696
1657,725,7
508,726,94
1657,727,127
1485,728,35
162,729,174
1257,729,59
758,729,3
981,729,28
649,729,41
1485,729,912
1657,729,299
1963,729,8
320,730,65
248,730,206
93,730,236
1886,731,196
406,731,34
2881,731,307
1657,731,70
1985,731,15
508,731,130
2678,731,50
165,732,269
246,732,441
16,733,51
1886,734,393
508,734,57
1195,735,433
811,736,263
1657,737,22
469,737,1509
1129,738,3
78,738,8
1657,738,4
12,738,15
2681,738,98
2238,738,1
1657,739,16
819,739,45
16,740,2
162,740,557
1364,741,153
1889,741,86
305,741,149
1985,741,61
666,741,104
2277,741,40
2669,741,10
1358,741,10
2734,741,16
799,741,21
164,741,32
1026,741,34
2308,741,38
1713,742,607
1546,742,132
98,743,14
1149,744,31
1636,744,28
1657,745,15
520,746,17
164,746,67
1485,747,5
1444,748,1
2970,749,33
162,749,46
1657,750,32
162,750,32
1587,751,6246
1657,752,42
1657,753,1
2238,754,38
1211,754,3664
1886,755,259
2678,755,131
1657,756,1
508,757,4630
1411,758,168
1590,758,11
162,759,2
1555,760,5
1249,761,55
1985,761,939
986,761,28
1886,761,87
305,761,313
2258,761,16
2213,761,131
46,761,41
2325,761,108
2241,761,82
1494,761,51
2554,761,111
2332,761,2
2678,761,10340
634,761,71
1482,761,476
627,761,15
2334,761,7
686,761,47
986,762,427
1257,762,62
1181,763,82
715,763,136
1657,764,2
41,765,584
1713,765,608
1050,765,1008
1953,765,172
1657,766,4
456,767,143
1985,767,49
1657,768,2
1449,768,11
164,769,44
981,770,324
1657,770,3
819,771,25
1657,772,70
465,773,6
456,774,11
1562,775,13
1414,776,13
508,776,7
1886,776,14
825,776,42
1657,777,3
813,778,28
1482,778,38
428,778,60
2314,778,50
2323,778,26
1183,778,34
1358,778,179
406,778,79
1886,779,168
162,780,96
1966,780,39
520,781,798
467,782,170
620,783,6766
1492,784,15
520,784,629
272,784,7
711,784,13
2210,785,436
1657,786,18
724,787,339
981,788,202
2547,788,18
41,790,14
1500,791,123
666,791,38
1364,791,98
1673,791,98
1657,791,7
2958,791,11
808,791,24
408,791,21
825,791,3
1119,792,43
2668,792,4
1562,792,5
1319,793,10
508,793,386
51,793,25
2970,793,171
64,793,9
1657,793,7
1428,793,18
706,793,88
2202,793,71
1985,793,931
2557,793,157
819,794,21
1091,795,3
520,795,16
2970,795,17
1713,795,83
1331,795,40
2323,795,1
